Dept Code,Dept Name,Function,Sub-function,Programme group code,Programme group name,ID or Non-ID,CAP or CUR,Sector,NUTS 1 region,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05
3,Scot_LA,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CUR,LA,SCOTLAND,0.7,0.6,0,0,0,0
3,Wales_LA,"Agriculture, fisheries and forestry",Market support under CAP,33609,EA:080 RPA -EC Subsidy school milk,ID,CUR,LA,WALES,0.2,0.2,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,SCOTLAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,WALES,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,NORTHERN IRELAND,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_North East,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_North West,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_Yorkshire & Humberside,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_East Midlands,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_West Midlands,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_South West,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_Eastern,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_London,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,ENGLAND_South East,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,34001,NRA pensions,ID,CAP,CG,OUTSIDE UK,0,0,0,0,0,0
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_South East,2.69,2.69,2.69,2.69,5.44,20.15
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_London,2.49,2.49,2.49,2.49,5.03,18.65
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_North West,2.29,2.29,2.29,2.29,4.63,17.25
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_Eastern,1.82,1.82,1.82,1.82,3.68,13.65
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_West Midlands,1.79,1.79,1.79,1.79,3.61,13.39
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_Yorkshire & Humberside,1.69,1.69,1.69,1.69,3.41,12.64
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_South West,1.66,1.66,1.66,1.66,3.34,12.39
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_East Midlands,1.42,1.42,1.42,1.42,2.87,10.64
3,DEFRA               ,Environment protection,Environmental protection,33703,EP:130 - Environment Agency - Environmental Protection,ID,CUR,CG,ENGLAND_North East,0.85,0.85,0.85,0.85,1.72,6.38
